JobNumber,Period,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12
3031,0,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000,-5076.0000
3033,0,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000,-18314.0000
3033,12,297.0000,297.0000,297.0000,297.0000,297.0000,297.0000,297.0000,297.0000,297.0000,297.0000,297.0000,297.0000
3034,0,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000,-1906.0000
3034,12,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000
3036,0,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000,-1138.0000
3037,0,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000,-21264.0000
3037,12,1750.0000,1750.0000,1750.0000,1750.0000,1750.0000,1750.0000,1750.0000,1750.0000,1750.0000,1750.0000,1750.0000,1750.0000
3038,0,,,,,,,,,,,,
3038,12,,,,,,,,,,,,
3039,0,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000,-1453.0000
3039,12,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000
3040,0,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000,-14993.0000
3040,12,266.0000,266.0000,266.0000,266.0000,266.0000,266.0000,266.0000,266.0000,266.0000,266.0000,266.0000,266.0000
3041,12,,,,,,,,,,,,
3042,0,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000,-5207.0000
3042,12,712.0000,712.0000,712.0000,712.0000,712.0000,712.0000,712.0000,712.0000,712.0000,712.0000,712.0000,712.0000
3043,0,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000,43.0000
3044,0,,,,,,,,,,,,
3045,0,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000,-62659.0000
3045,12,8158.0000,8158.0000,8158.0000,8158.0000,8158.0000,8158.0000,8158.0000,8158.0000,8158.0000,8158.0000,8158.0000,8158.0000
3046,0,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000,-3982.0000
3046,12,1085.0000,1085.0000,1085.0000,1085.0000,1085.0000,1085.0000,1085.0000,1085.0000,1085.0000,1085.0000,1085.0000,1085.0000
3047,0,,,,,,,,,,,,
3047,12,,,,,,,,,,,,
4013,0,45.0000,45.0000,45.0000,45.0000,45.0000,45.0000,45.0000,45.0000,45.0000,45.0000,45.0000,45.0000
4018,0,,,,,,,,,,,,
4018,12,,,,,,,,,,,,
4035,0,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000,-1569.0000
4035,12,102.0000,102.0000,102.0000,102.0000,102.0000,102.0000,102.0000,102.0000,102.0000,102.0000,102.0000,102.0000
4036,0,,,,,,,,,,,,
4036,12,,,,,,,,,,,,
