JobNumber,Period,actual_total
2013,7,638.6900
2013,8,114.9800
2016,5,-677.9500
3000,1,50890.1200
3000,2,53439.6200
3000,3,55674.7000
3000,4,57627.2600
3000,5,61233.8700
3000,6,53666.8900
3000,7,62670.3800
3000,8,48386.3200
3000,9,60500.6000
3000,10,55315.1900
3000,11,23946.4700
3001,1,-69239.6400
3001,2,-49488.9400
3001,3,-40355.1100
3001,4,-49523.0200
3001,5,-45374.1300
3001,6,-60236.9200
3001,7,-37367.0800
3001,8,-55697.8700
3001,9,-36683.5200
3001,10,-55650.5500
3001,11,-115173.2200
3002,2,-1936.1800
3002,3,-9222.2900
3002,4,-10032.3900
3002,6,-1994.7500
3002,7,-28.1800
3002,8,-6049.7700
3002,9,-17831.3200
3002,10,-11595.9600
3002,11,-5889.2900
3003,1,-5462.4300
3003,2,-4693.1200
3003,3,-3452.9400
3003,4,-3776.2400
3003,5,-2181.5200
3003,6,-3469.4200
3003,7,-2498.9300
3003,8,-1365.7700
3003,9,-1485.3000
3003,10,-3456.8800
3003,11,-4833.3600
3004,1,1804.2200
3004,2,2214.1400
3004,3,2398.5100
3004,4,2247.1300
3004,5,2207.1400
3004,6,2253.5200
3004,7,2412.3300
3004,8,1984.1900
3004,9,2256.8700
3004,10,2131.2600
3004,11,845.9600
3005,1,-214.9600
3005,2,-205.3800
3005,3,-231.3300
3005,4,-198.1500
3005,5,-212.8400
3005,6,-225.7300
3005,7,-124.7400
3005,8,-239.8100
3005,9,-190.4100
3005,10,-223.7200
3005,11,-280.8100
3006,1,-276.9100
3006,2,-225.7100
3006,3,-229.3900
3006,4,-133.0700
3006,5,-351.6700
3006,6,-720.0700
3006,7,-514.4000
3006,8,645.9900
3006,9,551.4000
3006,10,-222.3300
3006,11,-697.5900
3007,1,-19425.1800
3007,2,-19425.1800
3007,6,282.0000
3007,10,47.5000
3007,11,44.8600
3008,1,18179.2000
3008,2,18703.5200
3008,3,-14724.4000
3008,4,-15550.6400
3008,5,-20040.1000
3008,6,-14444.1500
3008,7,-17264.2900
3008,8,-19832.0200
3008,9,-17340.1300
3008,10,-17637.5200
3008,11,-29486.7100
3011,1,-8949.8000
3011,2,-9490.7000
3011,3,-8949.8000
3011,4,-11155.1400
3011,5,-11933.9600
3012,1,-11823.8500
3012,2,5165.6200
3012,3,5807.3100
3012,4,6447.4800
3012,5,6758.9500
3012,6,-5991.3500
3012,7,-3885.0600
3012,8,-8325.9600
3012,9,-6855.8200
3012,10,-13548.5000
3012,11,-21444.5300
3013,1,-1989.4400
3013,2,-1989.4400
3013,3,-1989.4400
3013,4,0.0000
3013,7,20.0000
3014,1,-1256.4600
3014,2,-1286.4600
3014,3,-1236.3600
3015,1,-2207.2300
3015,2,-1617.8500
3015,3,-452.1300
3015,4,-650.7900
3015,5,-817.7000
3015,6,-655.8800
3015,7,-871.7900
3015,8,-916.8900
3015,9,-713.7600
3015,10,-1066.5200
3015,11,-1968.7300
3016,1,-3079.3600
3016,2,-1166.5300
3016,3,-1245.4200
3016,4,-1850.0900
3016,5,-784.2200
3016,6,-3294.5600
3016,7,273.1200
3016,8,-4541.3900
3016,9,-2844.5500
3016,10,-5602.5500
3016,11,-11281.7800
3017,1,-270.7400
3017,2,-92.6000
3017,3,147.8500
3017,4,-471.6300
3017,5,34.5800
3017,6,-96.9900
3017,7,2334.8800
3017,8,970.4600
3017,9,1220.3100
3017,10,-200.2900
3017,11,-1325.3400
3018,1,-10750.4400
3018,2,-10693.4400
3018,3,0.0000
3018,4,0.0000
3018,6,9.7500
3018,10,92.8800
3019,1,-8729.7400
3019,2,-8905.7400
3019,3,-3983.7200
3019,4,-4476.2000
3019,5,1098.4600
3019,6,-5709.6700
3019,7,-5709.6700
3020,1,113.1500
