JobNumber,Period,Hours,Lunch,Total
3006,1,98.4300,8.0000,803.5525000
3006,2,83.6800,7.0000,720.5255000
3006,3,89.4100,6.0000,798.0210000
3006,4,94.0500,8.0000,839.3375000
3006,5,65.6800,5.5000,591.1200000
3006,6,40.9200,3.0000,341.9935000
3006,7,72.8800,5.5000,586.6840000
3006,8,175.4600,13.5000,1412.4530000
3006,9,137.3600,10.0000,1105.7480000
3006,10,122.6200,9.0000,447.9355000
3008,1,1604.9800,105.5000,14032.7720000
3008,2,1724.2500,108.0000,14686.6475000
3008,3,1792.5000,106.5000,15342.5235000
3008,4,1716.2300,96.5000,14690.9570000
3008,5,1689.0600,92.5000,14830.5200000
3008,6,1793.0500,94.0000,15542.9625000
3008,7,1762.2000,96.5000,15596.4265000
3008,8,1739.0200,104.0000,15661.8070000
3008,9,1750.0400,103.5000,15483.0435000
3008,10,1556.2100,66.5000,5944.7260000
3012,1,535.4200,30.0000,4814.6645000
3012,2,2068.0900,119.0000,18078.8695000
3012,3,2215.0800,139.5000,19472.5410000
3012,4,2209.8700,138.0000,19462.3505000
3012,5,2022.3300,123.5000,17637.0395000
3012,6,2304.9500,139.5000,20077.7765000
3012,7,2063.7700,124.5000,17906.8850000
3012,8,2244.9600,122.0000,19105.2180000
3012,9,2086.8400,128.0000,17626.1135000
3012,10,1789.6100,102.0000,6584.0725000
3012,11,55.8900,3.5000,
3015,1,8.0000,,64.4000000
3015,2,111.6800,2.5000,899.0240000
3015,3,184.0000,,1481.2000000
3015,4,168.0000,,1352.4000000
3015,5,178.5000,0.5000,1505.4000000
3015,6,176.0000,,1416.8000000
3015,7,163.5000,0.0000,1340.5000000
3015,8,184.0000,,1481.2000000
3015,9,171.8300,,1383.2315000
3015,10,144.0000,,515.2000000
3016,1,871.3500,60.5000,7789.5760000
3016,2,1050.9200,74.5000,9258.1415000
3016,3,1016.4800,66.5000,9000.1880000
3016,4,1028.2100,73.0000,9050.5610000
3016,5,1004.4000,73.0000,8880.5160000
3016,6,1020.4900,72.0000,8982.1810000
3016,7,1125.9800,80.5000,10294.5575000
3016,8,1203.7400,84.0000,11185.1550000
3016,9,1131.5800,79.0000,10416.5680000
3016,10,927.1600,64.5000,3661.2995000
3017,1,159.8800,4.0000,1326.6790000
3017,2,172.3600,7.0000,1417.0225000
3017,3,186.8500,7.0000,1543.1620000
3017,4,134.6600,4.0000,1118.0015000
3017,5,162.5800,6.5000,1342.4515000
3017,6,187.9500,7.5000,1553.5965000
3017,7,341.9100,27.5000,2434.1900000
3017,8,320.4000,18.0000,2802.3395000
3017,9,254.4300,12.0000,2241.4510000
3017,10,151.2100,3.0000,629.6585000
3018,10,7.0000,0.0000,56.3500000
3019,1,22.1500,0.5000,246.1000000
3019,3,5.6500,0.0000,57.3125000
3019,4,6.0000,0.5000,54.0000000
3020,1,11.9500,0.0000,96.1975000
3020,2,11.6700,0.0000,93.9435000
3020,3,14.8100,0.0000,119.2205000
3020,4,12.0000,0.0000,96.6000000
3020,5,12.0000,0.0000,96.6000000
3020,6,15.0000,0.0000,120.7500000
3020,7,12.0000,0.0000,96.6000000
3020,8,12.0000,0.0000,96.6000000
3020,9,15.0000,0.0000,120.7500000
3020,10,12.0000,0.0000,48.3000000
3022,1,12.0000,0.0000,96.6000000
3022,2,4.9700,0.5000,59.6400000
3022,3,46.7100,0.0000,351.8655000
3022,4,89.6700,0.5000,721.8435000
3022,5,67.0900,0.0000,479.0405000
3022,6,89.2900,0.0000,718.7845000
3022,7,81.9500,0.0000,659.6975000
3022,8,66.2200,0.5000,554.7960000
3022,9,80.5000,0.5000,648.0250000
3022,10,81.1300,0.5000,193.6830000
3024,9,16.0000,,
