MonthlyBudget,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12,GLAccountNumber,FiscalYear,BudgetType,JobNumber
24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,4022,2016,Other,1037
23.0000,23.0000,26.0000,28.0000,31.0000,34.0000,36.0000,39.0000,41.0000,44.0000,47.0000,49.0000,52.0000,4022,2017,Other,1037
60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,4090,2017,Supplies,1037
2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,4003,2017,Other,1037
685.0000,685.0000,682.0000,679.0000,676.0000,673.0000,670.0000,667.0000,665.0000,662.0000,659.0000,656.0000,653.0000,4000,2017,Other,1037
9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,4022,2016,Other,1038
3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,4060,2016,Other,1038
2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,4003,2016,Other,1038
9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,4021,2016,Other,1038
43.0000,43.0000,44.0000,44.0000,45.0000,45.0000,45.0000,44.0000,44.0000,43.0000,42.0000,40.0000,39.0000,4020,2017,Sub-contracted Labor,1041
2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,4003,2017,Other,1041
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,4003,2016,Other,1041
20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,4021,2016,Other,1041
8.0000,8.0000,9.0000,9.0000,10.0000,10.0000,11.0000,12.0000,12.0000,12.0000,13.0000,13.0000,14.0000,4070,2017,Other,1041
6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,4001,2016,Other,1041
