ID,JobNumber,EmployeeNumber,WorkDate,CategoriesDetailID,RecordTypeID,SequenceNumber,Hours,InTime,OutTime,Lunch,ForceOTToThisJob,PayRate,SpecialPayRate,PaidByCheckID,OvertimeHours,DoubletimeHours,WorkTicketNumber
121995,5011,2767,1/13/2017,1,5,1,7.8,12/30/1899 5:42:00 PM,12/30/1899 2:00:00 AM,0.5,0,,0,,0,0,
121996,1032,2784,1/13/2017,1,5,1,5.52,12/30/1899 4:00:00 PM,12/30/1899 10:01:00 PM,0.5,0,,0,,0,0,
121997,3033,2820,1/13/2017,1,5,1,0,12/30/1899 8:02:00 AM,,0,0,,0,,0,0,
121998,5011,2848,1/13/2017,1,5,1,8.08,12/30/1899 5:24:00 PM,12/30/1899 1:59:00 AM,0.5,0,,0,,0,0,
121999,5011,2856,1/13/2017,1,5,1,8,12/30/1899 3:30:00 PM,12/30/1899,0.5,0,,0,,0,0,
122000,3027,2887,1/13/2017,1,5,1,8.3,12/30/1899 11:42:00 AM,12/30/1899 8:30:00 PM,0.5,0,,0,,0,0,
122001,1068,2890,1/13/2017,1,5,1,0,12/30/1899 7:28:00 PM,,0,0,,0,,0,0,
122002,1070,2890,1/13/2017,1,5,1,0.7,12/30/1899 10:48:00 PM,12/30/1899 11:30:00 PM,0,0,,0,,0,0,
122003,1003,2924,1/13/2017,1,5,1,6.73,12/30/1899 6:17:00 PM,12/30/1899 1:31:00 AM,0.5,0,,0,,0,0,
122004,1003,2931,1/13/2017,1,5,1,6.72,12/30/1899 6:17:00 PM,12/30/1899 1:30:00 AM,0.5,0,,0,,0,0,
122005,1058,2940,1/13/2017,1,5,1,0,,12/30/1899 10:00:00 PM,0,0,,0,,0,0,
122006,5011,2948,1/13/2017,1,5,1,8,12/30/1899 3:30:00 PM,12/30/1899,0.5,0,,0,,0,0,
122007,1057,2950,1/13/2017,1,5,1,4.2,12/30/1899 6:10:00 PM,12/30/1899 10:22:00 PM,0,0,,0,,0,0,
122008,1056,2950,1/13/2017,1,5,1,1,12/30/1899 10:29:00 PM,12/30/1899 11:29:00 PM,0,0,,0,,0,0,
122009,3033,2955,1/13/2017,1,5,1,0,12/30/1899 8:01:00 AM,,0,0,,0,,0,0,
122010,1066,2982,1/13/2017,1,5,1,8.32,12/30/1899 5:27:00 PM,12/30/1899 2:16:00 AM,0.5,0,,0,,0,0,
122011,1051,2990,1/13/2017,1,5,1,4.45,12/30/1899 6:34:00 PM,12/30/1899 11:01:00 PM,0,0,,0,,0,0,
122012,3045,2999,1/13/2017,1,5,1,8.03,12/30/1899 3:58:00 PM,12/30/1899 12:30:00 AM,0.5,0,,0,,0,0,
122013,3045,3001,1/13/2017,1,5,1,8.1,12/30/1899 3:52:00 PM,12/30/1899 12:28:00 AM,0.5,0,,0,,0,0,
122014,3045,3005,1/13/2017,1,5,1,7.92,12/30/1899 4:06:00 PM,12/30/1899 12:31:00 AM,0.5,0,,0,,0,0,
122015,3045,3008,1/13/2017,1,5,1,8.1,12/30/1899 3:56:00 PM,12/30/1899 12:32:00 AM,0.5,0,,0,,0,0,
122016,3045,3009,1/13/2017,1,5,1,8.02,12/30/1899 4:06:00 PM,12/30/1899 12:37:00 AM,0.5,0,,0,,0,0,
122017,3045,3010,1/13/2017,1,5,1,8.1,12/30/1899 3:55:00 PM,12/30/1899 12:31:00 AM,0.5,0,,0,,0,0,
122018,3045,3013,1/13/2017,1,5,1,7.73,12/30/1899 4:19:00 PM,12/30/1899 12:33:00 AM,0.5,0,,0,,0,0,
122019,3045,3014,1/13/2017,1,5,1,8.03,12/30/1899 4:05:00 PM,12/30/1899 12:37:00 AM,0.5,0,,0,,0,0,
122020,3045,3015,1/13/2017,1,5,1,8,12/30/1899 4:08:00 PM,12/30/1899 12:38:00 AM,0.5,0,,0,,0,0,
122021,3037,3028,1/13/2017,1,5,1,8.02,12/30/1899 1:00:00 PM,12/30/1899 9:31:00 PM,0.5,0,,0,,0,0,
122022,3045,3043,1/13/2017,1,5,1,0,12/30/1899 3:58:00 PM,,0,0,,0,,0,0,
122023,1034,3044,1/13/2017,1,5,1,8.27,12/30/1899 10:00:00 AM,12/30/1899 6:46:00 PM,0.5,0,,0,,0,0,
122024,3027,3051,1/13/2017,1,5,1,8.07,12/30/1899 11:56:00 AM,12/30/1899 8:30:00 PM,0.5,0,,0,,0,0,
122025,3045,3071,1/13/2017,1,5,1,7.72,12/30/1899 4:19:00 PM,12/30/1899 12:32:00 AM,0.5,0,,0,,0,0,
122026,3045,3087,1/13/2017,1,5,1,0,12/30/1899 3:19:00 PM,,0,0,,0,,0,0,
122027,1053,3095,1/13/2017,1,5,1,0,12/30/1899 5:30:00 PM,,0,0,,0,,0,0,
122028,3037,3105,1/13/2017,1,5,1,9.7,12/30/1899 10:50:00 AM,12/30/1899 9:32:00 PM,1,0,,0,,0,0,
122029,3045,3110,1/13/2017,1,5,1,8.18,12/30/1899 3:59:00 PM,12/30/1899 1:10:00 AM,1,0,,0,,0,0,
122030,3037,3118,1/13/2017,1,5,1,8.02,12/30/1899 1:00:00 PM,12/30/1899 9:31:00 PM,0.5,0,,0,,0,0,
122031,3045,3120,1/13/2017,1,5,1,8.18,12/30/1899 3:18:00 PM,12/30/1899 12:29:00 AM,1,0,,0,,0,0,
122032,1066,3145,1/13/2017,1,5,1,5.07,12/30/1899 6:17:00 PM,12/30/1899 11:51:00 PM,0.5,0,,0,,0,0,
122033,1061,3155,1/13/2017,1,5,1,8.32,12/30/1899 5:00:00 PM,12/30/1899 2:19:00 AM,1,0,,0,,0,0,
122034,1058,3156,1/13/2017,1,5,1,4.62,12/30/1899 3:57:00 PM,12/30/1899 9:04:00 PM,0.5,0,,0,,0,0,
122035,1003,3175,1/13/2017,1,5,1,8.07,12/30/1899 5:01:00 PM,12/30/1899 1:35:00 AM,0.5,0,,0,,0,0,
122036,1066,3186,1/13/2017,1,5,1,8.32,12/30/1899 5:27:00 PM,12/30/1899 2:16:00 AM,0.5,0,,0,,0,0,
122037,3045,3191,1/13/2017,1,5,1,7.68,12/30/1899 3:51:00 PM,12/30/1899 12:02:00 AM,0.5,0,,0,,0,0,
122038,1057,3208,1/13/2017,1,5,1,4.02,12/30/1899 6:08:00 PM,12/30/1899 10:09:00 PM,0,0,,0,,0,0,
122039,1003,3210,1/13/2017,1,5,1,8.05,12/30/1899 5:01:00 PM,12/30/1899 1:34:00 AM,0.5,0,,0,,0,0,
122040,1033,3231,1/13/2017,1,5,1,3.87,12/30/1899 6:08:00 PM,12/30/1899 10:00:00 PM,0,0,,0,,0,0,
122041,1003,3234,1/13/2017,1,5,1,8.07,12/30/1899 5:01:00 PM,12/30/1899 1:35:00 AM,0.5,0,,0,,0,0,
122042,1053,3237,1/13/2017,1,5,1,3.52,12/30/1899 4:04:00 PM,12/30/1899 7:35:00 PM,0,0,,0,,0,0,
122043,1033,3245,1/13/2017,1,5,1,0,12/30/1899 5:53:00 PM,,0,0,,0,,0,0,
122044,1057,3248,1/13/2017,1,5,1,3.92,12/30/1899 6:14:00 PM,12/30/1899 10:09:00 PM,0,0,,0,,0,0,
122045,1003,3253,1/13/2017,1,5,1,7.08,12/30/1899 6:00:00 PM,12/30/1899 1:35:00 AM,0.5,0,,0,,0,0,
122046,3037,3255,1/13/2017,1,5,1,8,12/30/1899 1:00:00 PM,12/30/1899 9:30:00 PM,0.5,0,,0,,0,0,
122047,1066,3256,1/13/2017,1,5,1,9.3,12/30/1899 4:03:00 PM,12/30/1899 2:21:00 AM,1,0,,0,,0,0,
122048,1066,3259,1/13/2017,1,5,1,6.58,12/30/1899 5:26:00 PM,12/30/1899 12:31:00 AM,0.5,0,,0,,0,0,
122049,3045,3297,1/13/2017,1,5,1,8.15,12/30/1899 3:19:00 PM,12/30/1899 12:28:00 AM,1,0,,0,,0,0,
122050,1003,3306,1/13/2017,1,5,1,7.08,12/30/1899 6:00:00 PM,12/30/1899 1:35:00 AM,0.5,0,,0,,0,0,
122051,3037,3308,1/13/2017,1,5,1,8,12/30/1899 1:00:00 PM,12/30/1899 9:30:00 PM,0.5,0,,0,,0,0,
122052,3027,3310,1/13/2017,1,5,1,8.05,12/30/1899 11:58:00 AM,12/30/1899 8:31:00 PM,0.5,0,,0,,0,0,
122053,1051,3315,1/13/2017,1,5,1,5,12/30/1899 6:00:00 PM,12/30/1899 11:00:00 PM,0,0,,0,,0,0,
