ID,JobNumber,EmployeeNumber,WorkDate,CategoriesDetailID,RecordTypeID,SequenceNumber,Hours,InTime,OutTime,Lunch,ForceOTToThisJob,PayRate,SpecialPayRate,PaidByCheckID,OvertimeHours,DoubletimeHours,WorkTicketNumber
95514,3045,3207,9/30/2016,1,5,1,6.3,12/30/1899 5:49:00 PM,12/30/1899 12:37:00 AM,0.5,0,8.5,0,11617,0,0,
95515,1057,3208,9/30/2016,1,5,1,4.07,12/30/1899 6:00:00 PM,12/30/1899 10:04:00 PM,0,0,9,0,11618,0,0,
95516,1003,3210,9/30/2016,1,5,1,8.22,12/30/1899 6:00:00 PM,12/30/1899 3:13:00 AM,1,0,8.45,0,11620,0,0,
95517,1051,3211,9/30/2016,1,5,1,4.07,12/30/1899 6:53:00 PM,12/30/1899 10:57:00 PM,0,0,9,0,11621,0,0,
95518,1051,3214,9/30/2016,1,5,1,4.97,12/30/1899 6:00:00 PM,12/30/1899 10:58:00 PM,0,0,9,0,11624,0,0,
95519,1033,3215,9/30/2016,1,5,1,3.22,12/30/1899 6:38:00 PM,12/30/1899 9:51:00 PM,0,0,8.5,0,11625,0,0,
95520,3008,3218,9/30/2016,1,5,1,4.05,12/30/1899 5:57:00 PM,12/30/1899 10:00:00 PM,0,0,8.5,0,11628,0,0,
95521,3001,3220,9/30/2016,1,5,1,7.65,12/30/1899 8:49:00 PM,12/30/1899 4:57:00 AM,0.5,0,10,0,11630,0.13,0,
95522,1066,3223,9/30/2016,1,5,1,6.38,12/30/1899 6:01:00 PM,12/30/1899 12:54:00 AM,0.5,0,11,0,11633,0,0,
95523,5014,9000,9/30/2016,38,8,1,7.4,12/30/1899 3:49:00 PM,12/30/1899 11:13:00 PM,0,0,6,0,11226,0,0,
95524,5014,9006,9/30/2016,38,8,1,9.07,12/30/1899 3:25:00 PM,12/30/1899 12:29:00 AM,0,0,8.05,0,11227,0,0,
95525,5014,9007,9/30/2016,38,8,1,8.95,12/30/1899 3:23:00 PM,12/30/1899 12:20:00 AM,0,0,7,0,11228,0,0,
95526,5014,9013,9/30/2016,38,8,1,9.92,12/30/1899 1:52:00 PM,12/30/1899 11:47:00 PM,0,0,8.3,0,11230,0,0,
95527,5014,9017,9/30/2016,38,8,1,6.37,12/30/1899 2:39:00 PM,12/30/1899 9:01:00 PM,0,0,15,0,11232,0,0,
95528,5014,9026,9/30/2016,38,8,1,6.23,12/30/1899 4:58:00 PM,12/30/1899 11:12:00 PM,0,0,10,0,11236,0,0,
95529,5014,9027,9/30/2016,38,8,1,8.15,12/30/1899 4:25:00 PM,12/30/1899 12:34:00 AM,0,0,6,0,11237,0,0,
95530,5014,9042,9/30/2016,38,8,1,8.8,12/30/1899 2:18:00 PM,12/30/1899 11:06:00 PM,0,0,12,0,11240,0,0,
95531,5014,9056,9/30/2016,38,8,1,7.67,12/30/1899 3:35:00 PM,12/30/1899 11:15:00 PM,0,0,5.03,0,11242,0,0,
95532,5014,9060,9/30/2016,38,8,1,7.65,12/30/1899 3:42:00 PM,12/30/1899 11:21:00 PM,0,0,6,0,11244,0,0,
95533,5014,9069,9/30/2016,38,8,1,8.85,12/30/1899 2:16:00 PM,12/30/1899 11:07:00 PM,0,0,12,0,11247,0,0,
95534,5014,9071,9/30/2016,38,8,1,8.62,12/30/1899 2:31:00 PM,12/30/1899 11:08:00 PM,0,0,12,0,11249,0,0,
95535,5014,9075,9/30/2016,38,8,1,8,12/30/1899 2:00:00 PM,12/30/1899 10:00:00 PM,0,0,21.63,0,11250,0,0,
95536,5014,9079,9/30/2016,38,8,1,8.88,12/30/1899 2:00:00 PM,12/30/1899 10:53:00 PM,0,0,11,0,11251,0,0,
95537,5014,9083,9/30/2016,38,8,1,8.68,12/30/1899 2:30:00 PM,12/30/1899 11:11:00 PM,0,0,11,0,11255,0,0,
95538,1012,1036,9/20/2016,1,8,1,5,,,,0,10.5,0,11324,0,0,
95539,1012,1036,9/21/2016,1,8,1,5,,,,0,10.5,0,11324,0,0,
95540,1012,1036,9/22/2016,1,8,1,5,,,,0,10.5,0,11324,0,0,
95541,1012,1036,9/23/2016,1,8,1,5,,,,0,10.5,0,11324,0,0,
95542,1012,1036,9/24/2016,1,8,1,5,,,,0,10.5,0,11324,0,0,
95543,3008,2176,9/23/2016,1,8,1,3,,,,0,8.05,0,11388,0,0,
95544,3008,2128,10/01/2016,1,8,2,0,12/30/1899,12/30/1899,0,0,,0,,0,0,
95545,3008,3218,9/21/2016,1,8,1,3,12/30/1899 6:00:00 PM,12/30/1899 9:00:00 PM,0,0,8.5,0,11628,0,0,
95546,6008,2307,9/19/2016,1,8,1,4,,,,0,9,0,11404,0,0,
95547,6008,2307,9/20/2016,1,8,1,4,,,,0,9,0,11404,0,0,
95548,6008,2307,9/21/2016,1,8,1,4,,,,0,9,0,11404,0,0,
95549,6008,2307,9/22/2016,1,8,1,4,,,,0,9,0,11404,0,0,
95550,6008,2307,9/23/2016,1,8,1,4,,,,0,9,0,11404,0,0,
95551,6008,2307,9/26/2016,1,8,1,4,,,,0,9,0,11404,0,0,
95552,6008,2307,9/27/2016,1,8,1,4,,,,0,9,0,11404,0,0,
95553,6008,2307,9/28/2016,1,8,1,4,,,,0,9,0,11404,0,0,
95554,6008,2307,9/29/2016,1,8,1,4,,,,0,9,0,11404,0,0,
95555,3031,851,10/01/2016,1,8,1,5.05,12/30/1899 6:27:00 AM,12/30/1899 12:00:00 PM,0.5,0,10,0,11313,0,0,
95556,3008,907,10/01/2016,1,5,1,5,12/30/1899 7:48:00 AM,12/30/1899 12:48:00 PM,0,0,10,0,11317,0,0,
95557,3012,2142,10/01/2016,1,5,1,1.62,12/30/1899 8:00:00 AM,12/30/1899 9:37:00 AM,0,0,8.05,0,11384,0,0,
95558,3012,2142,10/01/2016,1,5,2,2.3,12/30/1899 9:48:00 AM,12/30/1899 12:06:00 PM,0,0,8.05,0,11384,0,0,
95559,1056,2661,9/30/2016,1,8,1,2,12/30/1899 11:01:00 PM,12/30/1899 1:01:00 AM,0,0,10,0,11460,0,0,
95560,3046,2770,10/01/2016,1,5,1,3.75,12/30/1899 8:47:00 AM,12/30/1899 12:32:00 PM,0,0,10,0,11478,0,0,
95561,3012,2951,10/01/2016,1,5,1,1.63,12/30/1899 8:00:00 AM,12/30/1899 9:38:00 AM,0,0,8.05,0,11508,0,0,
95562,3045,3001,9/30/2016,1,8,1,7.8,12/30/1899 10:42:00 PM,12/30/1899 7:00:00 AM,0.5,0,8.5,0,11522,0,0,
95563,3045,3023,9/30/2016,1,8,1,7.8,12/30/1899 10:42:00 PM,12/30/1899 7:00:00 AM,0.5,0,8.5,0,11533,0,0,
95564,3045,3043,10/01/2016,1,8,2,7.33,12/30/1899 4:00:00 PM,12/30/1899 11:50:00 PM,0.5,0,13.5,0,11540,4.64,0,
95565,1033,3215,10/01/2016,1,5,1,1.83,12/30/1899 8:12:00 AM,12/30/1899 10:02:00 AM,0,0,8.5,0,11625,0,0,
95566,6008,2307,9/30/2016,1,8,1,4,,,,0,9,0,11404,0,0,
95567,906008,2307,9/24/2016,1,8,1,4,,,,0,9,0,11404,0.5,0,
95568,3008,3062,9/19/2016,1,8,2,4.5,,,,0,9,0,11548,0,0,
95569,3008,3062,9/20/2016,1,8,2,4.5,,,,0,9,0,11548,0,0,
95570,3008,3062,9/21/2016,1,8,2,4.5,,,,0,9,0,11548,0,0,
95571,3008,3062,9/22/2016,1,8,2,4.5,,,,0,9,0,11548,0,0,
95572,3008,3062,9/23/2016,1,8,2,4.5,,,,0,9,0,11548,0,0,
95573,3012,1436,10/01/2016,1,8,1,4.25,,,,0,8.05,0,11347,0.96,0,
95574,3012,854,10/01/2016,1,8,1,4.25,,,,0,8.05,0,11314,0,0,
95575,3012,1067,10/01/2016,1,8,1,4.25,,,,0,8.05,0,11327,2.6,0,
95576,3012,893,10/01/2016,1,8,1,4.25,,,,0,8.05,0,11316,4.25,0,
95577,3012,999,10/01/2016,1,5,1,8.02,12/30/1899 8:00:00 AM,12/30/1899 4:31:00 PM,0.5,0,10,0,11318,0.14,0,
95578,3031,1058,10/01/2016,1,8,1,7.13,12/30/1899 5:53:00 AM,12/30/1899 1:31:00 PM,0.5,0,10,0,11325,4.7,0,
